,#Rank,University,Town
0,1,Indian Institute of Technology Bombay,Mumbai
1,2,Indian Institute of Technology Madras,Chennai
2,3,University of Delhi,New Delhi
3,4,Indian Institute of Technology Kanpur,Kanpur
4,5,Indian Institute of Technology Delhi,New Delhi
5,6,Indian Institute of Science,Bangalore
6,7,Indian Institute of Technology Kharagpur,Kharagpur
7,8,Tata Institute of Fundamental Research,Mumbai
8,9,Manipal Academy of Higher Education,Manipal ...
9,10,Lovely Professional University,Phagwara
10,11,"International Institute of Information Technology, Hyderabad",Hyderabad
11,12,Jawaharlal Nehru University,New Delhi
12,13,Vellore Institute of Technology,Vellore ...
13,14,Amrita Vishwa Vidyapeetham,Coimbatore ...
14,15,Savitribai Phule Pune University,Pune
15,16,Birla Institute of Technology and Science,Pilani ...
16,17,Indian Institute of Technology Guwahati,Guwahati
17,18,Anna University,Chennai
18,19,All India Institute of Medical Sciences Delhi,New Delhi
19,20,Indian Statistical Institute,Kolkata ...
20,21,Tata Institute of Social Sciences,Mumbai
21,22,SRM Institute of Science and Technology,Chennai ...
22,23,Amity University,Noida ...
23,24,Narsee Monjee Institute of Management and Higher Studies,Mumbai
24,25,Indian Institute of Technology Roorkee,Roorkee
25,26,Chandigarh University,Mohali ...
26,27,Indian Institute of Technology Hyderabad,Eddumailaram
27,28,Tamil Nadu Agricultural University,Coimbatore ...
28,29,Banaras Hindu University,Varanasi
29,30,University of Kerala,Thiruvananthapuram
30,31,Dr. A.P.J. Abdul Kalam Technical University,Lucknow
31,32,University of Mumbai,Mumbai
32,33,University of Lucknow,Lucknow
33,34,Gandhi Institute of Technology and Management,Visakhapatnam
34,35,Christ University,Bangalore ...
35,36,Panjab University,Chandigarh
36,37,"Chitkara University, Punjab",Punjab
37,38,Thapar Institute of Engineering and Technology,Patiala ...
38,39,Gujarat Technological University,Ahmedabad
39,40,Ashoka University,Sonipat
40,41,Indian Institute of Technology Gandhinagar,Chandkheda
41,42,Aligarh Muslim University,Aligarh ...
42,43,Cochin University of Science and Technology,Kochi
43,44,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli
44,45,National Institute of Design,Ahmedabad ...
45,46,"National Institute of Technology, Rourkela",Rourkela
46,47,University of Calcutta,Kolkata
47,48,National Institute of Mental Health and Neuro Sciences,Bangalore
48,49,"National Institute of Technology, Calicut",Calicut
49,50,Osmania University,Hyderabad
50,51,Jadavpur University,Kolkata
51,52,K L University,Vaddeswaram
52,53,Rajiv Gandhi Proudyogiki Vishwavidyalaya,Bhopal ...
53,54,"Indian Institute of Science Education and Research, Pune",Pune
54,55,University of Calicut,Tenhipalam ...
55,56,Mahatma Gandhi University,Kottayam
56,57,Dr. N.T.R. University of Health Sciences,Vijayawada
57,58,Visvesvaraya Technological University,Belgaum
58,59,Chhatrapati Shahu Ji Maharaj University,Kalyanpur
59,60,O.P. Jindal Global University,Sonipat
60,61,University of Madras,Chennai
61,62,SASTRA University,Thanjavur ...
62,63,Azim Premji University,Bangalore
63,64,Chennai Mathematical Institute,Chennai
64,65,University of Allahabad,Allahabad
65,66,University of Hyderabad,Hyderabad
66,67,Jamia Millia Islamia,New Delhi
67,68,University of Petroleum and Energy Studies,Dehradun
68,69,The Maharaja Sayajirao University of Baroda,Vadodara
69,70,Jiwaji University,Gwalior
70,71,"University of Engineering and Management, Kolkata",Kolkata
71,72,Guru Nanak Dev University,Amritsar
72,73,Kerala Agricultural University,Thrissur ...
73,74,"National Institute of Technology, Karnataka",Mangalore
74,75,Jawaharlal Nehru Technological University,Hyderabad ...
75,76,Indian Institute of Foreign Trade,New Delhi
76,77,"Indian Institute of Technology, BHU",Varanasi
77,78,Shiv Nadar University,Dadri
78,79,Kurukshetra University,Kurukshetra ...
79,80,Delhi Technological University,New Delhi
80,81,Jain University,Bangalore
81,82,University of Kashmir,Srinagar
82,83,National Law School of India University,Bangalore
83,84,Siddharth University,Kapilvastu
84,85,Indian Institute of Technology Bhubaneswar,Bhubaneswar
85,86,Indian Institute of Information Technology Allahabad,Allahabad
86,87,International Institute of Information Technology Bangalore,Bangalore
87,88,National Institute of Fashion Technology,New Delhi ...
88,89,Jawaharlal Nehru Centre for Advanced Scientific Research,Bangalore
89,90,Gujarat University,Ahmedabad
90,91,APJ Abdul Kalam Technological University,Thiruvananthapuram
91,92,Chaudhary Charan Singh University,Meerut
92,93,Indian School of Mines,Dhanbad
93,94,Birla Institute of Technology,Ranchi ...
94,95,Indian Institute of Technology Mandi,Mandi
95,96,North Eastern Hill University,Shillong ...
96,97,Ahmedabad University,Ahmedabad
97,98,Indira Gandhi Institute of Development Research,Mumbai
98,99,University of Mysore,Mysore ...
99,100,Hemwati Nandan Bahuguna Garhwal University,Srinagar
100,101,All India Institute of Medical Sciences Patna,Patna
101,102,Visva-Bharati University,Bolpur ...
102,103,Indian Agricultural Research Institute,New Delhi
103,104,Deen Dayal Upadhyay Gorakhpur University,Gorakhpur
104,105,KIIT University,Bhubaneswar
105,106,Deccan College Post-Graduate and Research Institute,Pune
106,107,Parul University,Waghodia
107,108,"Indian Institute of Science Education and Research, Kolkata",Mohanpur
108,109,Sarguja University,Ambikapur
109,110,Andhra University,Visakhapatnam
110,111,Guru Gobind Singh Indraprastha University,New Delhi
111,112,Tezpur University,Tezpur
112,113,Bharathidasan University,Tiruchirappalli
113,114,Nirma University,Ahmedabad
114,115,Indraprastha Institute of Information Technology,New Delhi
115,116,Jawaharlal Institute of Postgraduate Medical Education & Research,Puducherry
116,117,Bangalore University,Bangalore
117,118,Pondicherry University,Puducherry ...
118,119,Madurai Kamaraj University,Madurai
119,120,XIM University,Harirajpur ...
120,121,Sharda University,Greater Noida
121,122,Annamalai University,Chidambaram
122,123,Indian Institute of Space Science and Technology,Thiruvananthapuram
123,124,CSK Himachal Pradesh Krishi Vishvavidyalaya,Palampur
124,125,Indian Institute of Technology Jodhpur,Jodhpur
125,126,Indian Institute of Technology Patna,Patna
126,127,CEPT University,Ahmedabad
127,128,Post Graduate Institute of Medical Education and Research,Chandigarh
128,129,Devi Ahilya Vishwavidyalaya,Indore
129,130,Sant Gadge Baba Amravati University,Amravati
130,131,University of Rajasthan,Jaipur
131,132,Centurion University of Technology and Management,Bhubaneswar
132,133,Lalit Narayan Mithila University,Darbhanga
133,134,Chaudhary Charan Singh Haryana Agricultural University,Hisar
134,135,Hindustan Institute of Technology and Science,Chennai
135,136,Alliance University,Bangalore
136,137,Motilal Nehru National Institute of Technology Allahabad,Allahabad
137,138,Magadh University,Bodh Gaya
138,139,Bharathiar University,Coimbatore
139,140,Symbiosis International University,Pune
140,141,Babasaheb Bhimrao Ambedkar Bihar University,Muzaffarpur
141,142,"Malaviya National Institute of Technology, Jaipur",Jaipur
142,143,Saurashtra University,Rajkot
143,144,Indian Institute of Technology Ropar,Rupnagar
144,145,Himachal Pradesh University,Shimla
145,146,Rajiv Gandhi University of Health Sciences,Bangalore
146,147,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah ...
147,148,"Maulana Abul Kalam Azad University of Technology, West Bengal",Kolkata
148,149,University of Kalyani,Kalyani
149,150,Indian Institute of Technology Indore,Indore
150,151,Flame University,Pune
151,152,Sathyabama Institute of Science and Technology,Chennai
152,153,University of Burdwan,Bardhaman
153,154,Kavayitri Bahinabai Chaudhari North Maharashtra University,Jalgaon ...
154,155,Bharati Vidyapeeth Deemed University,Pune ...
155,156,Karunya Institute of Technology and Sciences,Coimbatore
156,157,West Bengal University of Health Sciences,Kolkata
157,158,Tamil Nadu Dr. M.G.R.Medical University,Chennai
158,159,Bennett University,Greater Noida
159,160,Barkatullah University,Bhopal
160,161,"Indian Institute of Science Education and Research, Bhopal",Bhopal
161,162,Dr. B R Ambedkar National Institute of Technology Jalandhar,Jalandhar
162,163,Dr. Ram Manohar Lohia Avadh University,Faizabad
163,164,Jamia Hamdard,New Delhi
164,165,Gulbarga University,Gulbarga
165,166,ITM University Raipur,Raipur
166,167,University of Jammu,Jammu
167,168,Dhirubhai Ambani Institute of Information and Communication Technology,Gandhinagar
168,169,Acharya Narendra Deva University of Agriculture & Technology,Faizabad
169,170,Shivaji University,Kolhapur
170,171,Maulana Azad National Institute of Technology,Bhopal
171,172,Govind Ballabh Pant University of Agriculture and Technology,Pantnagar
172,173,Atal Bihari Vajpayee Vishwavidyalaya,Bilaspur
173,174,Bundelkhand University,Jhansi
174,175,International Institute for Population Sciences,Mumbai
175,176,Visvesvaraya National Institute of Technology,Nagpur
176,177,Maharashtra University of Health Sciences,Nashik
177,178,"Indian Institute of Science Education and Research, Thiruvananthapuram",Thiruvananthapuram
178,179,National Institute of Educational Planning and Administration,New Delhi
179,180,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,Chennai
180,181,"National Institute of Technology, Silchar",Silchar
181,182,Gauhati University,Guwahati
182,183,Punjabi University Patiala,Patiala
183,184,Dr. D.Y. Patil Vidyapeeth,Pune
184,185,"National Institute of Technology, Warangal",Warangal
185,186,Veer Narmad South Gujarat University,Surat
186,187,Kerala University of Health Sciences,Thrissur
187,188,Doon University,Dehradun
188,189,"Sardar Vallabhbhai National Institute of Technology, Surat",Surat
189,190,PES University,Bangalore
190,191,Rani Durgavati Vishwavidyalaya,Jabalpur
191,192,University of North Bengal,Siliguri
192,193,Tamil Nadu Veterinary and Animal Sciences University,Chennai ...
193,194,Sri Ramachandra Institute of Higher Education and Research,Chennai
194,195,JSS Academy of Higher Education and Research,Mysore ...
195,196,Alagappa University,Karaikudi
196,197,Goa University,Taleigao
197,198,Sanjay Gandhi Post Graduate Institute of Medical Sciences,Lucknow
198,199,Babasaheb Bhimrao Ambedkar University,Lucknow
199,200,BML Munjal University,Gurgaon
200,201,King George's Medical University,Lucknow
201,202,Jaypee Institute of Information Technology,Noida
202,203,Graphic Era University,Dehradun
203,204,Punjab Agricultural University,Ludhiana ...
204,205,Kannur University,Kannur
205,206,Mahatma Gandhi Kashi Vidyapeeth,Varanasi ...
206,207,"Indian Institute of Science Education and Research, Mohali",Mohali
207,208,"National Law University, Delhi",New Delhi
208,209,"University of Agricultural Sciences, Bangalore",Bangalore ...
209,210,All India Institute of Medical Sciences Raipur,Raipur
210,211,Indian Maritime University,Chennai
211,212,Rajasthan University of Health Sciences,Jaipur
212,213,National Forensic Sciences University,Gandhinagar
213,214,Rabindra Bharati University,Kolkata
